name,all_reviews,popular_tags,genre,original_price,discount_price
Call of Duty®: Black Ops,"Very Positive,(4,190),- 84% of the 4,190 user reviews for this game are positive.","Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively Multiplayer",Action,1.020,$906.48
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,"Very Positive,(382),- 97% of the 382 user reviews for this game are positive.","Visual Novel,Story Rich,Great Soundtrack,Detective,Anime,Mystery,Adventure,Singleplayer,Funny,Classic,Puzzle,Crime,Point & Click,Comedy,Conversation,Dynamic Narration,Cult Classic,Casual,Sexual Content",Adventure,$29.99,$38.25
Team Sonic Racing™,"Mostly Positive,(487),- 70% of the 487 user reviews for this game are positive.","Racing,Multiplayer,Great Soundtrack,Team-Based,Fast-Paced,Co-op,Arcade,Local Co-Op,Local Multiplayer,Singleplayer,Action,Colorful,Adventure,Split Screen,Online Co-Op,Family Friendly,Funny,Memes,Anime,Casual",Racing,$39.99,
Titan Quest Anniversary Edition,"Very Positive,(9,757),- 90% of the 9,757 user reviews for this game are positive.","RPG,Hack and Slash,Mythology,Action RPG,Loot,Multiplayer,Classic,Singleplayer,Co-op,Fantasy,Adventure,Action,Atmospheric,Isometric,Top-Down,Open World,Great Soundtrack,Story Rich,Level Editor,Female Protagonist","Action,RPG",$19.99,$54.97
Grand Theft Auto IV,"Mixed,(43,799),- 63% of the 43,799 user reviews for this game are positive.","Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Action,Adventure",$19.99,
Portal Bundle,,,"Action,Adventure",,$14.98
Portal,"Overwhelmingly Positive,(40,424),- 97% of the 40,424 user reviews for this game are positive.","Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack",Action,$9.99,$14.98
Viscera Cleanup Detail,"Very Positive,(5,414),- 92% of the 5,414 user reviews for this game are positive.","Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,Adventure","Indie,Simulation",$12.99,$39.71
Neverwinter Nights: Enhanced Edition,"Mostly Positive,(1,094),- 74% of the 1,094 user reviews for this game are positive.","RPG,Dungeons & Dragons,Fantasy,Classic,CRPG,Multiplayer,Singleplayer,Character Customization,Co-op,Story Rich,Real-Time with Pause,Adventure,Moddable,Female Protagonist,Cult Classic",RPG,$57.91,$46.26
Ni no Kuni™ II: Revenant Kingdom,"Very Positive,(2,701),- 81% of the 2,701 user reviews for this game are positive.","RPG,JRPG,Anime,Adventure,Singleplayer,Open World,Fantasy,Story Rich,Cute,Great Soundtrack,Action RPG,Dungeon Crawler,Hack and Slash,Action,Strategy,City Builder,Cartoony,Multiplayer,Survival,Co-op","Adventure,RPG",$59.99,
Tree of Savior (English Ver.),"Mixed,(15,461),- 60% of the 15,461 user reviews for this game are positive.","MMORPG,Massively Multiplayer,Free to Play,RPG,Anime,Fantasy,Adventure,Cute,Great Soundtrack,Action,Multiplayer,JRPG,Open World,Isometric,Nudity,Co-op,Action RPG,Hack and Slash,Memes,Dating Sim","Free to Play,Massively Multiplayer,RPG",Free to Play,
Hellblade: Senua's Sacrifice,"Very Positive,(21,022),- 91% of the 21,022 user reviews for this game are positive.","Atmospheric,Psychological,Female Protagonist,Story Rich,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Fantasy,Walking Simulator,Realistic,Action-Adventure,Blood","Action,Adventure,Indie",$29.99,$32.38
Danganronpa 2: Goodbye Despair,"Overwhelmingly Positive,(4,612),- 96% of the 4,612 user reviews for this game are positive.","Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Adventure,Psychological Horror,Dark Comedy,Horror,Atmospheric,Memes,Puzzle,Comedy,Dark,Dating Sim,Mature,Funny,Walking Simulator",Adventure,$19.99,$59.97
Yakuza 0,"Very Positive,(8,128),- 87% of the 8,128 user reviews for this game are positive.","Story Rich,Action,Beat 'em up,Great Soundtrack,Open World,Crime,RPG,Violent,Minigames,Mature,Funny,Singleplayer,Adventure,Sexual Content,Comedy,Drama,Third Person,Atmospheric,Anime,Dating Sim","Action,Adventure,RPG",$19.99,
The Escapists 2,"Very Positive,(5,252),- 81% of the 5,252 user reviews for this game are positive.","Multiplayer,Strategy,Pixel Graphics,Online Co-Op,Co-op,2D,Crafting,Singleplayer,Indie,Simulation,Stealth,Sandbox,Local Co-Op,Character Customization,Funny,Puzzle,Difficult,Action,Open World,Split Screen","Indie,Simulation,Strategy",$19.99,$46.77
"Star Wars: Battlefront 2 (Classic, 2005)","Very Positive,(27,397),- 91% of the 27,397 user reviews for this game are positive.","Star Wars,Action,Multiplayer,Shooter,Third-Person Shooter,Sci-fi,Classic,Space,FPS,First-Person,Singleplayer,Moddable,Third Person,Military,Masterpiece,Tactical,Co-op,Strategy,Great Soundtrack,Adventure",Action,$9.99,$225.35
Wizard101,"Mixed,(805),- 68% of the 805 user reviews for this game are positive.","Massively Multiplayer,RPG,Magic,Card Game,Free to Play,Family Friendly,MMORPG,Strategy,Fantasy,Turn-Based,Multiplayer,Adventure,Psychological Horror,Anime,Online Co-Op,Turn-Based Combat,Co-op,Great Soundtrack,Story Rich","Free to Play,Massively Multiplayer,RPG",Free To Play,
Life is Strange 2,"Very Positive,(4,437),*,- 86% of the 4,437 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","Choices Matter,Story Rich,Adventure,Great Soundtrack,Singleplayer,Atmospheric,Episodic,Drama,Sexual Content,Third Person,Choose Your Own Adventure,Walking Simulator,Mystery,Point & Click,Nudity,Indie,Visual Novel,Political,Action,Survival",Adventure,$7.99,$39.95
Kingdoms of Amalur: Reckoning™,"Very Positive,(8,950),- 87% of the 8,950 user reviews for this game are positive.","RPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,Masterpiece","Action,RPG",$19.99,
Doom Classic Complete,,,Action,$14.99,$7.49
"Warhammer 40,000: Dawn of War II: Retribution","7 user reviews,- Need more user reviews to generate a score","Warhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,Adventure",Strategy,$29.99,
GOD WARS The Complete Legend,"Positive,(11),- 100% of the 11 user reviews for this game are positive.","RPG,Adventure,Simulation,Tactical RPG,JRPG,Turn-Based,Anime","Adventure,RPG,Simulation",$29.99,$39.86
Counter-Strike: Source,"Overwhelmingly Positive,(45,829),- 95% of the 45,829 user reviews for this game are positive.","Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox",Action,$9.99,$65.70
The Evil Within,"Very Positive,(7,855),- 80% of the 7,855 user reviews for this game are positive.","Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator",Action,$19.99,$9.99
The Binding of Isaac: Rebirth Complete Bundle,,,"Action,Adventure,Indie",,$35.97
Bright Memory(Early Access) / 光明记忆,"Very Positive,(7,779),- 93% of the 7,779 user reviews for this game are positive.","Early Access,FPS,Female Protagonist,Action,Adventure,Early Access,Indie,Gore,Violent,Hack and Slash,Singleplayer,Sci-fi,Shooter,Anime","Action,Adventure,Indie,Early Access",$6.99,$5.24
STAR WARS™ Empire at War - Gold Pack,"Very Positive,(5,997),- 94% of the 5,997 user reviews for this game are positive.","Strategy,Star Wars,RTS,Space,Sci-fi,Multiplayer,Singleplayer,Moddable,Tactical,Action,Mod,War,Great Soundtrack,Classic,Co-op,Grand Strategy,Simulation,4X,Adventure,Atmospheric",Strategy,$19.99,$225.35
Dishonored®: Death of the Outsider™,"Very Positive,(2,396),- 82% of the 2,396 user reviews for this game are positive.","Stealth,Action,First-Person,Steampunk,Female Protagonist,Singleplayer,Assassin,Atmospheric,Violent,Story Rich,Magic,Adventure,Open World,Dark,Choices Matter,Gore,Parkour,FPS,Immersive Sim,Fantasy",Action,$29.99,$14.99
Street Fighter V,"Mixed,(9,007),- 52% of the 9,007 user reviews for this game are positive.","Fighting,Multiplayer,2D Fighter,Competitive,Arcade,Action,Local Multiplayer,e-sports,2.5D,Anime,Great Soundtrack,Controller,Singleplayer,Early Access,Classic,2D,Female Protagonist,Nudity,Memes,Funny",Action,$19.99,$69.98
The Jackbox Party Pack 2,"Very Positive,(417),- 94% of the 417 user reviews for this game are positive.","Local Multiplayer,Casual,Comedy,Indie,Local Co-Op,Strategy,Funny,Multiplayer,Board Game,Co-op,Family Friendly","Casual,Indie,Strategy",$24.99,$28.98
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,"Very Positive,(88),- 80% of the 88 user reviews for this game are positive.","Early Access,Tanks,World War I,Indie,Simulation,Strategy,Action,Military,War,Management,Singleplayer,Tactical,Historical,Driving,3D,Destruction,Shooter,Sandbox,Casual,Survival","Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access",$19.99,$25.63
Battlefleet Gothic: Armada 2,"Mostly Positive,(1,731),- 72% of the 1,731 user reviews for this game are positive.","Warhammer 40K,Strategy,Space,Real Time Tactics,RTS,Violent,Games Workshop,Sci-fi,Singleplayer,Co-op,Multiplayer",Strategy,$39.99,
RUNNING WITH RIFLES,"Very Positive,(5,090),- 87% of the 5,090 user reviews for this game are positive.","Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,Open World,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,Massively Multiplayer,Survival,Isometric,Adventure","Action,Indie",$14.99,$4.49
The Witcher: Enhanced Edition Director's Cut,"Very Positive,(28,082),- 85% of the 28,082 user reviews for this game are positive.","RPG,Fantasy,Story Rich,Mature,Singleplayer,Choices Matter,Third Person,Action,Nudity,Adventure,Based On A Novel,Dark Fantasy,Atmospheric,Masterpiece,Open World,Great Soundtrack,Multiple Endings,Medieval,Action RPG,Magic","Action,RPG",$9.99,$1.49
Middle-earth™: Shadow of War™,"Mostly Positive,(16,973),- 77% of the 16,973 user reviews for this game are positive.","Open World,Action,RPG,Fantasy,Singleplayer,Adventure,Violent,Third Person,Gore,Stealth,War,Story Rich,Action RPG,Dark Fantasy,Hack and Slash,Atmospheric,Magic,Medieval,Strategy,Great Soundtrack","Action,Adventure,RPG",Demo Middle-earth™: Shadow of War™,
Forts,"Mostly Positive,(1,786),- 79% of the 1,786 user reviews for this game are positive.","Strategy,Base Building,Action,Multiplayer,RTS,Physics,Building,Singleplayer,Co-op,2D,Destruction,Sandbox,Indie,Resource Management,War,Tactical,Military,Tower Defense,Funny,Free to Play","Action,Strategy",$14.99,$24.98
The Lord of the Rings Online™,"Very Positive,(8,597),- 80% of the 8,597 user reviews for this game are positive.","Free to Play,MMORPG,Massively Multiplayer,Fantasy,RPG,Open World,Adventure,Multiplayer,Based On A Novel,Action,Exploration,Character Customization,Story Rich,Co-op,Online Co-Op,Third Person,Survival,PvP,Singleplayer,Dark Fantasy","Free to Play,Massively Multiplayer,RPG",Play for Free!,
Stellaris: Ascension Pack,,,"Simulation,Strategy",,$69.86
Dungeon Munchies,"Overwhelmingly Positive,(561),- 98% of the 561 user reviews for this game are positive.","Early Access,Indie,Action,Early Access,Pixel Graphics,Adventure,Funny,Post-apocalyptic,Anime,Singleplayer,2D,Exploration,RPG,Bullet Hell,Comedy,Platformer","Action,Adventure,Indie,Early Access",$13.99,
Grand Theft Auto IV: Complete Edition,,"Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Action,Adventure",$29.99,
Pillars of Eternity,"Very Positive,(8,015),- 84% of the 8,015 user reviews for this game are positive.","RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded",RPG,$59.98,$40.48
Graveyard Keeper,"Mostly Positive,(5,694),- 75% of the 5,694 user reviews for this game are positive.","Pixel Graphics,Crafting,RPG,Sandbox,Indie,Simulation,Medieval,Singleplayer,Dark Humor,Management,Adventure,Building,Agriculture,2D,Story Rich,Dark,Mystery,Fantasy,Gore,Violent","Adventure,Indie,RPG,Simulation",$19.99,$27.17
The Elder Scrolls®: Legends™,"Mostly Positive,(7,557),- 71% of the 7,557 user reviews for this game are positive.","Free to Play,Card Game,Trading Card Game,Multiplayer,Strategy,Fantasy,Singleplayer,Great Soundtrack,Board Game,Story Rich,Atmospheric,Tactical,Nudity,Action,Dark Fantasy,Casual",Free to Play,Free to Play,
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,,,Action,$69.99,$59.99
Northgard,"Very Positive,(12,784),- 83% of the 12,784 user reviews for this game are positive.","Strategy,City Builder,RTS,Resource Management,Multiplayer,Medieval,Real-Time,Survival,Simulation,Indie,Singleplayer,Mythology,War,Management,Co-op,4X,Early Access,Atmospheric,Adventure,Action","Indie,Simulation,Strategy",$29.99,
