name,all_reviews,popular_tags,genre,original_price,discount_price
Reventure,"Very Positive,(617),- 94% of the 617 user reviews for this game are positive.","Adventure,Indie,Violent,Pixel Graphics,Comedy,Dark Humor,Retro,Multiple Endings,2D,Singleplayer,Exploration,Platformer,Dark Comedy,Metroidvania,Choose Your Own Adventure,Puzzle-Platformer,Great Soundtrack,Nonlinear,Mystery Dungeon,Choices Matter","Adventure,Indie",$9.98,$8.53
Job Simulator,"Very Positive,(823),- 83% of the 823 user reviews for this game are positive.","VR,Simulation,Funny,Singleplayer,First-Person,Comedy,Physics,Robots,Memes,Sandbox,Family Friendly,Atmospheric,Casual,Sci-fi,Realistic,Illuminati,Open World,Action,Indie,Multiplayer",Simulation,$19.99,$169.92
Watch_Dogs® 2,"Mostly Positive,(24,747),- 78% of the 24,747 user reviews for this game are positive.","Illuminati,Hacking,Open World,Action,Parkour,Stealth,Multiplayer,Third Person,Shooter,Crime,Singleplayer,Third-Person Shooter,Adventure,Co-op,Sexual Content,Comedy,Mature,Atmospheric,Cute,Gore","Action,Adventure",$59.99,$80.98
Town of Salem,"Very Positive,(13,158),- 86% of the 13,158 user reviews for this game are positive.","Multiplayer,Strategy,Mystery,Indie,RPG,Casual,Werewolves,Funny,Great Soundtrack,Survival,Co-op,Board Game,Tactical,Massively Multiplayer,2D,Comedy,Family Friendly,Memes,Action,Horror","Indie,RPG,Strategy",$4.99,$9.98
VEGA Conflict,"Mixed,(2,827),- 52% of the 2,827 user reviews for this game are positive.","Free to Play,Space,Strategy,Massively Multiplayer,Sci-fi,Multiplayer,Open World,RTS,War,Base Building,Action,PvP,Singleplayer,Co-op,Survival,Shooter,Adventure,Sandbox,2D","Free to Play,Massively Multiplayer,Strategy",Free to Play,
Foundation,"Mostly Positive,(1,546),- 74% of the 1,546 user reviews for this game are positive.","Early Access,City Builder,Strategy,Medieval,Simulation,Early Access,Indie,Economy,Singleplayer,Building,Resource Management,Choices Matter","Indie,Simulation,Strategy,Early Access",$29.99,$33.23
Shadow of the Tomb Raider,"Mostly Positive,(9,220),*,- 74% of the 9,220 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","Adventure,Lara Croft,Action,Female Protagonist,Third Person,Singleplayer,Story Rich,Puzzle,Open World,Action-Adventure,Stealth,Exploration,Survival,Violent,Atmospheric,Shooter,Gore,Great Soundtrack,Dark,Heist","Action,Adventure",Shadow of the Tomb Raider Free Trial,$89.06
Golf With Your Friends,"Very Positive,(13,457),- 89% of the 13,457 user reviews for this game are positive.","Early Access,Multiplayer,Mini Golf,Golf,Early Access,Sports,Casual,Funny,Family Friendly,Indie,Co-op,Singleplayer,Great Soundtrack,Simulation,Strategy,Physics,Difficult,Massively Multiplayer,Psychological Horror,Memes","Casual,Indie,Sports,Early Access",$5.99,$6.63
The Witcher 2: Assassins of Kings Enhanced Edition,"Very Positive,(35,412),- 88% of the 35,412 user reviews for this game are positive.","RPG,Fantasy,Mature,Story Rich,Choices Matter,Singleplayer,Third Person,Adventure,Dark Fantasy,Nudity,Multiple Endings,Action,Masterpiece,Atmospheric,Open World,Based On A Novel,Difficult,Medieval,Dark,Magic",RPG,$19.99,$2.99
ARK: Survival Evolved Explorer's Edition,,,"Action,Adventure,Indie,Massively Multiplayer,RPG",,$90.23
The Elder Scrolls IV: Oblivion® Game of the Year Edition,"Very Positive,(11,784),- 94% of the 11,784 user reviews for this game are positive.","Open World,RPG,Fantasy,Singleplayer,Moddable,First-Person,Adventure,Exploration,Great Soundtrack,Action,Magic,Character Customization,Sandbox,Story Rich,Atmospheric,Medieval,Classic,Action RPG,Masterpiece,Third Person",RPG,$14.99,
Company of Heroes 2,"Mostly Positive,(27,873),- 74% of the 27,873 user reviews for this game are positive.","Strategy,World War II,RTS,Multiplayer,Tactical,Historical,War,Military,Singleplayer,Co-op,Online Co-Op,Tanks,Action,Real-Time,Base Building,Real-Time with Pause,Atmospheric,Simulation,Great Soundtrack,Masterpiece",Strategy,$19.99,$36.40
PlanetSide 2,"Very Positive,(44,454),- 81% of the 44,454 user reviews for this game are positive.","Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG","Action,Free to Play,Massively Multiplayer",Free to Play,
Rocksmith® 2014 Edition - Remastered,"Very Positive,(4,582),- 89% of the 4,582 user reviews for this game are positive.","Music,Education,Simulation,Rhythm,Great Soundtrack,Local Co-Op,Casual,Singleplayer,Masterpiece","Casual,Simulation",$29.99,
Naval Action,"Mixed,(4,179),- 59% of the 4,179 user reviews for this game are positive.","Naval,Open World,Massively Multiplayer,Simulation,Pirates,Strategy,Historical,Adventure,Early Access,Action,Multiplayer,Sailing,Indie,Realistic,Sandbox,Military,Atmospheric,PvP,Co-op,Singleplayer","Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy",$39.99,
theHunter: Call of the Wild™ - 2019 Edition,,,"Adventure,Simulation,Sports",,$39.97
ACE COMBAT™ 7: SKIES UNKNOWN,"Mostly Positive,(4,786),- 73% of the 4,786 user reviews for this game are positive.","Flight,Action,Great Soundtrack,Story Rich,Arcade,Singleplayer,Multiplayer,Military,Jet,Simulation,War,Shooter,Controller,First-Person,Sci-fi,Silent Protagonist,VR,Anime,Strategy,Third Person","Action,Simulation",$59.99,
Vacation Simulator,"Very Positive,(137),- 86% of the 137 user reviews for this game are positive.","Simulation,VR,Action,Adventure,Funny,Casual,Family Friendly,Colorful,Cute,First-Person","Action,Adventure,Simulation",$29.99,
PAYDAY 2: Ultimate Edition,,,"Action,RPG,Violent",,$20.16
Baldur's Gate: Enhanced Edition,"Very Positive,(4,292),- 85% of the 4,292 user reviews for this game are positive.","RPG,Fantasy,Classic,Isometric,Dungeons & Dragons,Party-Based RPG,Real-Time with Pause,Singleplayer,Strategy,CRPG,Story Rich,Co-op,Character Customization,Adventure,Multiplayer,Masterpiece,Online Co-Op,Remake,Magic,Atmospheric","RPG,Strategy",$151.89,$82.73
The Golf Club™ 2019 featuring PGA TOUR,"Mixed,(364),- 57% of the 364 user reviews for this game are positive.","Sports,Simulation,Strategy,Indie,Golf","Indie,Simulation,Sports,Strategy",$49.99,$19.99
Far Cry® 5,"Mixed,(31,338),- 67% of the 31,338 user reviews for this game are positive.","Open World,FPS,Action,Co-op,Multiplayer,Shooter,Adventure,First-Person,Singleplayer,America,Survival,Story Rich,Stealth,Hunting,Exploration,Atmospheric,Character Customization,Great Soundtrack,Sexual Content,Nudity","Action,Adventure",$59.99,
Pummel Party,"Very Positive,(1,571),- 82% of the 1,571 user reviews for this game are positive.","Multiplayer,Funny,Board Game,Casual,4 Player Local,Online Co-Op,Comedy,Co-op,Action,Indie,Local Co-Op,Local Multiplayer,Colorful,Singleplayer,Beat 'em up,Gore,Minigames,Controller,Family Friendly,Strategy","Action,Casual,Indie",$14.99,
Idle Champions of the Forgotten Realms,"Very Positive,(3,738),- 80% of the 3,738 user reviews for this game are positive.","Early Access,Clicker,Free to Play,Early Access,Dungeons & Dragons,Strategy,Adventure,Fantasy,Indie,Casual,Action,Singleplayer,RPG,Multiplayer,2D","Action,Adventure,Free to Play,Indie,Strategy,Early Access",Free to Play,
The Isle,"Mixed,(10,033),- 69% of the 10,033 user reviews for this game are positive.","Early Access,Dinosaurs,Survival,Open World,Multiplayer,Simulation,Hunting,Early Access,Massively Multiplayer,Adventure,Realistic,Action,Third Person,Co-op,Sandbox,Indie,Team-Based,Strategy,Walking Simulator,RPG","Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",$19.99,
iRacing,"Mostly Positive,(363),- 77% of the 363 user reviews for this game are positive.","Racing,Simulation,Sports,Massively Multiplayer,Realistic,Multiplayer,Driving,VR,First-Person,Singleplayer","Massively Multiplayer,Racing,Simulation,Sports",,
Steel Division 2,,"Strategy,World War II,RTS,Indie,War,Military,Historical,Multiplayer,Tactical,Singleplayer,Realistic,Co-op,Action,Simulation,Moddable,Real-Time with Pause,Turn-Based Strategy,Replay Value","Indie,Strategy",$39.99,
"Hot Dogs, Horseshoes & Hand Grenades","Overwhelmingly Positive,(3,181),- 96% of the 3,181 user reviews for this game are positive.","Early Access,VR,Simulation,Early Access,Gun Customization,Indie,Action,Sandbox,Shooter,Funny,FPS,Physics,Singleplayer,Realistic,America","Action,Indie,Simulation,Early Access",$19.99,
Crush Crush,"Very Positive,(8,410),- 87% of the 8,410 user reviews for this game are positive.","Free to Play,Anime,Sexual Content,Nudity,Dating Sim,Clicker,Mature,Cute,Casual,Singleplayer,Funny,Romance,Visual Novel,Comedy,Memes,Indie,Female Protagonist,Resource Management,Strategy,Early Access","Casual,Free to Play,Indie",Free to Play,
Call of Duty®: Black Ops II,"Very Positive,(9,096),- 82% of the 9,096 user reviews for this game are positive.","Action,Multiplayer,FPS,Shooter,First-Person,Singleplayer,Co-op,War,Online Co-Op,Team-Based,Futuristic,Survival,Controller,Tactical,Adventure,Great Soundtrack,Sci-fi,Massively Multiplayer,Atmospheric,Horror",Action,1.020,$906.48
Undertale,"Overwhelmingly Positive,(87,700),- 95% of the 87,700 user reviews for this game are positive.","Great Soundtrack,Story Rich,Choices Matter,Funny,Multiple Endings,Pixel Graphics,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Cute,Bullet Hell,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror","Indie,RPG",$9.99,
The Evil Within 2,"Very Positive,(5,271),- 90% of the 5,271 user reviews for this game are positive.","Horror,Survival Horror,Psychological Horror,Action,Story Rich,Adventure,Open World,Gore,Atmospheric,Violent,Third Person,Singleplayer,Third-Person Shooter,Stealth,Survival,Zombies,Great Soundtrack,Shooter,Dark,First-Person","Action,Adventure",$59.99,$29.99
Project CARS 2,"Mostly Positive,(3,746),- 71% of the 3,746 user reviews for this game are positive.","Racing,Driving,Simulation,Multiplayer,VR,Realistic,Sports,Singleplayer,Open World,Arcade,Action,Atmospheric,Controller,Difficult",Racing,$59.99,
Total War: SHOGUN 2,,"Strategy,Historical,Turn-Based Strategy,RTS,Grand Strategy,Tactical,Singleplayer,Real Time Tactics,Multiplayer,Diplomacy,Ninja,Military,Turn-Based,Co-op,Great Soundtrack,Medieval,Turn-Based Tactics,Stylized,Moddable,Action",Strategy,$29.99,
FINAL FANTASY VII,"Very Positive,(10,938),- 92% of the 10,938 user reviews for this game are positive.","JRPG,RPG,Classic,Turn-Based,Story Rich,Singleplayer,Great Soundtrack,Fantasy,Masterpiece,Retro,Adventure,Open World,Sci-fi,Party-Based RPG,Epic,Cyberpunk,Atmospheric,Exploration,Dystopian,Strategy",RPG,$11.99,
Euro Truck Simulator 2,"Overwhelmingly Positive,(132,814),- 96% of the 132,814 user reviews for this game are positive.","Simulation,Driving,Open World,Realistic,Relaxing,Singleplayer,Moddable,Exploration,First-Person,Economy,Atmospheric,Adventure,Management,Indie,Casual,TrackIR,Racing,Sandbox,Action,RPG","Indie,Simulation",$19.99,$50.94
Endless Space® 2,"Very Positive,(7,583),- 81% of the 7,583 user reviews for this game are positive.","Strategy,Space,Sci-fi,4X,Multiplayer,Turn-Based Strategy,Turn-Based,Grand Strategy,Great Soundtrack,Singleplayer,Action,Open World,War,Atmospheric,Moddable,Co-op,Sandbox,RTS,RPG,Indie",Strategy,$39.99,$78.22
BATTALION 1944: First To Fight Edition,,,"Action,Massively Multiplayer",$32.98,$26.08
Beat Saber - Game + Imagine Dragons Music Pack,,,Indie,,$39.89
Stick Fight: The Game,"Very Positive,(23,264),- 89% of the 23,264 user reviews for this game are positive.","Multiplayer,Funny,Fighting,Action,2D Fighter,Local Multiplayer,4 Player Local,2D,PvP,Casual,Physics,Shooter,Indie,Online Co-Op,Local Co-Op,Controller,Great Soundtrack,Co-op,Strategy,Split Screen","Action,Casual,Indie",$4.99,$50.35
Fell Seal: Arbiter's Mark,"Very Positive,(725),- 92% of the 725 user reviews for this game are positive.","Turn-Based Tactics,RPG,Strategy,Turn-Based Combat,Indie,Tactical RPG,Turn-Based Strategy,Singleplayer,Fantasy,Strategy RPG,Tactical,Turn-Based,Female Protagonist,Character Customization,Class-Based,Isometric,Controller,2D,Story Rich,Early Access","Indie,RPG,Strategy",$29.99,
Out of the Park Baseball 20,"Very Positive,(184),- 91% of the 184 user reviews for this game are positive.","Simulation,Sports,Strategy,Indie,Management,Baseball","Indie,Simulation,Sports,Strategy",$39.99,$53.98
Project Winter,"Mostly Positive,(401),- 75% of the 401 user reviews for this game are positive.","Survival,Multiplayer,Co-op,Strategy,Adventure,Action,Indie,Casual,Team-Based,Nature,Difficult,Experimental,Stylized,Controller,Early Access","Action,Adventure,Casual,Indie,Strategy",$19.99,
Dishonored,"Overwhelmingly Positive,(31,375),- 96% of the 31,375 user reviews for this game are positive.","Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian,FPS,RPG,Replay Value,Fantasy,Masterpiece,Open World,Shooter","Action,Adventure",$9.99,$4.99
Assetto Corsa,"Very Positive,(14,923),- 86% of the 14,923 user reviews for this game are positive.","Racing,Simulation,Driving,Realistic,Multiplayer,Sports,VR,Moddable,Physics,Controller,Singleplayer,First-Person,Replay Value,Indie,Open World,Action,3D Vision,TrackIR,Artificial Intelligence,Early Access","Indie,Racing,Simulation,Sports",$19.99,$10.77
My Friend Pedro,,"Action,Violent,Indie,Gore,Bullet Time,Parkour,Shooter,Singleplayer,Side Scroller,Funny,Great Soundtrack,Platformer,Fast-Paced,2.5D,Comedy","Action,Indie",$19.99,$16.99
Trove,"Mostly Positive,(62,025),- 77% of the 62,025 user reviews for this game are positive.","Free to Play,Open World,Multiplayer,Adventure,MMORPG,Massively Multiplayer,Building,Sandbox,Pixel Graphics,Action,RPG,Crafting,Third Person,Co-op,Exploration,Dungeon Crawler,Voxel,Funny,Casual,FPS","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG",Free to Play,
My Time At Portia,"Very Positive,(10,245),- 90% of the 10,245 user reviews for this game are positive.","Open World,Crafting,RPG,Simulation,Agriculture,Singleplayer,Casual,Sandbox,Building,Adventure,Mining,Relaxing,Exploration,Indie,Cartoony,Survival,Female Protagonist,Early Access,Post-apocalyptic,Controller","Adventure,Casual,Indie,RPG,Simulation",$29.99,
Fallout 4 VR,"Mostly Positive,(2,407),- 70% of the 2,407 user reviews for this game are positive.","VR,Open World,Post-apocalyptic,RPG,Singleplayer,Shooter,Violent,Survival,Action,FPS,First-Person,Atmospheric,Adventure,Gore,Base Building,Great Soundtrack,Character Customization,Stealth,Multiplayer,Funny",RPG,$59.99,$38.99
Enter the Gungeon,"Very Positive,(24,391),- 94% of the 24,391 user reviews for this game are positive.","Rogue-like,Bullet Hell,Pixel Graphics,Difficult,Dungeon Crawler,Indie,Local Co-Op,Action,Rogue-lite,Great Soundtrack,Loot,Co-op,Multiplayer,Top-Down Shooter,Shoot 'Em Up,Funny,Shooter,Adventure,Action-Adventure,Twin Stick Shooter","Action,Adventure,Indie",$14.99,$22.46
NecroDancer AMPLIFIED PACK,,,"Action,Indie,RPG",$21.98,$6.16
Arizona Sunshine,"Very Positive,(3,248),- 85% of the 3,248 user reviews for this game are positive.","Zombies,VR,Horror,Action,Multiplayer,Adventure,FPS,Survival,Indie,Gore,Survival Horror,First-Person,Shooter,Open World,Violent,Co-op,Singleplayer,Funny,Post-apocalyptic,Difficult","Action,Adventure,Indie",$39.99,$169.92
Age of Mythology: Extended Edition,"Very Positive,(9,138),- 85% of the 9,138 user reviews for this game are positive.","Strategy,Mythology,Masterpiece,RTS,Classic,Multiplayer,Great Soundtrack,Epic,Singleplayer,Fantasy,Simulation,Historical,Atmospheric,Adventure,Real-Time,Tactical,Story Rich,Co-op,Remake,Action","Simulation,Strategy",$29.99,$122.31
Football Manager 2019,"Mostly Positive,(2,566),- 71% of the 2,566 user reviews for this game are positive.","Simulation,Sports,Management,Soccer,Football,Strategy,Multiplayer,Singleplayer,Addictive,Tactical,Heist,Economy,Casual,Real Time Tactics,RPG","Simulation,Sports",$49.99,
FINAL FANTASY XV WINDOWS EDITION,"Mostly Positive,(12,902),- 77% of the 12,902 user reviews for this game are positive.","RPG,Open World,JRPG,Fantasy,Story Rich,Great Soundtrack,Adventure,Singleplayer,Action,Multiplayer,Action RPG,Third Person,Anime,Hack and Slash,Fishing,Atmospheric,Online Co-Op,Co-op,First-Person,Violent",RPG,FINAL FANTASY XV WINDOWS EDITION PLAYABLE DEMO,$59.98
Gold Rush: The Game,"Mixed,(4,598),- 62% of the 4,598 user reviews for this game are positive.","Simulation,Mining,Realistic,Singleplayer,Open World,Indie,Driving,Sandbox,Economy,Strategy,Exploration,First-Person,Funny,Building,Management,Adventure,Difficult,Relaxing,Casual,Atmospheric","Indie,Simulation",$19.99,$9.99
Jump King,"Very Positive,(102),- 87% of the 102 user reviews for this game are positive.","Indie,Action,Adventure,Difficult,Platformer,Pixel Graphics,2D,Singleplayer,Medieval,Fantasy,Atmospheric,Dark Humor,Funny,Tactical,Retro,Philisophical,Side Scroller,Strategy,Psychological Horror","Action,Adventure,Indie",$12.99,$8.70
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,,"Open World,RPG,Fantasy,Singleplayer,Moddable,First-Person,Adventure,Exploration,Great Soundtrack,Action,Magic,Character Customization,Sandbox,Story Rich,Atmospheric,Medieval,Classic,Action RPG,Masterpiece,Third Person",,$19.99,
Train Simulator 2019,"Mixed,(9,340),- 62% of the 9,340 user reviews for this game are positive.","Simulation,Trains,Singleplayer,Driving,Realistic,Casual,Relaxing,Open World,Building,Moddable,Sandbox,Level Editor,TrackIR,Atmospheric,Action,VR,Fishing,City Builder,Masterpiece,Strategy",Simulation,$39.99,$83.96
Deep Ocean Bundle,,,"Adventure,Indie,Early Access",,$44.98
Just Shapes & Beats,"Overwhelmingly Positive,(2,124),- 96% of the 2,124 user reviews for this game are positive.","Rhythm,Great Soundtrack,Music,Bullet Hell,Indie,Difficult,Multiplayer,2D,Action,Co-op,Local Multiplayer,Singleplayer,Local Co-Op,Story Rich,Online Co-Op,4 Player Local,Funny","Action,Indie",$19.99,$23.38
Call of Duty: World at War,"Very Positive,(17,438),- 92% of the 17,438 user reviews for this game are positive.","Zombies,World War II,FPS,Multiplayer,Action,Shooter,Co-op,Moddable,First-Person,Singleplayer,War,Online Co-Op,Gore,Historical,Survival,Classic,Tanks,Great Soundtrack,Adventure,Horror",Action,1.020,$906.48
Dishonored: Death of the Outsider - Deluxe Bundle,,,Action,$59.99,$29.99
Killing Floor 2,"Very Positive,(46,412),- 89% of the 46,412 user reviews for this game are positive.","Zombies,Co-op,Gore,FPS,Survival,Multiplayer,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Masterpiece,Singleplayer,Early Access,Indie",Action,$29.99,$216.31
SpellForce 3: Soul Harvest,"Very Positive,(291),- 87% of the 291 user reviews for this game are positive.","RPG,RTS,Strategy,Gore,Multiplayer,Fantasy,Singleplayer,Party-Based RPG,Story Rich,Base Building,Great Soundtrack,Atmospheric","RPG,Strategy",$24.99,$44.98
Slime Rancher,"Overwhelmingly Positive,(21,366),- 96% of the 21,366 user reviews for this game are positive.","Cute,Exploration,Adventure,Singleplayer,Colorful,First-Person,Open World,Funny,Sandbox,Fantasy,Casual,Simulation,Management,Early Access,Great Soundtrack,Indie,Family Friendly,Female Protagonist,Action,FPS","Action,Adventure,Indie,Simulation",$19.99,$26.98
MapleStory,"Mixed,(5,387),- 67% of the 5,387 user reviews for this game are positive.","Free to Play,Massively Multiplayer,RPG,MMORPG,Anime,2D,Adventure,Casual,Side Scroller,Platformer,Action RPG,Multiplayer,Fantasy,Action,Cute,Open World,Pixel Graphics,Co-op,Great Soundtrack,Hack and Slash","Casual,Free to Play,Massively Multiplayer,RPG",Free to Play,
KovaaK's FPS Aim Trainer,"Very Positive,(703),- 92% of the 703 user reviews for this game are positive.","FPS,Action,Simulation,Indie,Shooter,Singleplayer,Free to Play","Action,Indie,Simulation",$9.99,
Mount & Blade: Warband,"Overwhelmingly Positive,(59,100),- 97% of the 59,100 user reviews for this game are positive.","Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Hack and Slash,Simulation,Fantasy,Indie","Action,RPG",$19.99,
World of Tanks Blitz MMO,"Mostly Positive,(20,835),- 70% of the 20,835 user reviews for this game are positive.","Tanks,Free to Play,Multiplayer,Action,World War II,War,Massively Multiplayer,Strategy,PvP,Shooter,Military,Simulation,Online Co-Op,Competitive,Arcade,Psychological Horror,Singleplayer,FPS,Open World,First-Person","Action,Free to Play,Massively Multiplayer",Free to Play,
Rising Storm 2: Vietnam,"Very Positive,(15,667),- 80% of the 15,667 user reviews for this game are positive.","FPS,War,Realistic,Multiplayer,Military,Shooter,Tactical,Action,First-Person,Historical,Team-Based,Simulation,Atmospheric,Gore,Cold War,Violent,Massively Multiplayer,Strategy,Singleplayer,Indie","Action,Massively Multiplayer,Simulation,Strategy",$24.99,$216.31
Stormworks: Build and Rescue,"Very Positive,(1,686),- 87% of the 1,686 user reviews for this game are positive.","Early Access,Sandbox,Building,Simulation,Open World,Early Access,Multiplayer,Physics,Trains,Co-op,Adventure,Survival,Naval,Exploration,Singleplayer,First-Person,Third Person","Simulation,Early Access",$19.99,
Far Cry® New Dawn,"Mixed,(3,692),- 69% of the 3,692 user reviews for this game are positive.","Open World,FPS,Action,Post-apocalyptic,First-Person,Shooter,Adventure,Multiplayer,Co-op,Online Co-Op,Singleplayer,Stealth,Story Rich,Female Protagonist,Sandbox,RPG,Survival,Action RPG,Casual,Psychological Horror","Action,Adventure",$39.99,
Don't Starve,"Overwhelmingly Positive,(49,909),- 96% of the 49,909 user reviews for this game are positive.","Survival,Crafting,Indie,Adventure,Sandbox,Singleplayer,Perma Death,Open World,Exploration,Rogue-like,Multiplayer,Replay Value,Moddable,Difficult,Simulation,2D,Top-Down,Survival Horror,Horror,Action","Adventure,Indie,Simulation",$9.99,$28.09
Eastshade,"Very Positive,(679),- 85% of the 679 user reviews for this game are positive.","Exploration,Relaxing,Atmospheric,Open World,Beautiful,Adventure,First-Person,Singleplayer,Walking Simulator,Colorful,Indie,Casual,Interactive Fiction,Nature,RPG","Adventure,Indie",$24.99,$17.49
Zero Caliber VR,"Very Positive,(620),- 80% of the 620 user reviews for this game are positive.","Early Access,VR,FPS,Early Access,Simulation,Action,Violent,Indie,Casual,Multiplayer,Singleplayer,Shooter,Military","Action,Casual,Indie,Simulation,Early Access",$24.99,
Conan Exiles - Year 1 DLC Bundle,,,"Nudity,Violent,Gore,Action,Adventure,Massively Multiplayer,RPG,Strategy,Simulation",,$29.96
Sid Meier's Civilization V: Complete,,,Strategy,,$49.33
World War 3,"Mixed,(12,384),- 63% of the 12,384 user reviews for this game are positive.","Early Access,FPS,Military,War,Multiplayer,Early Access,Shooter,Action,First-Person,Realistic,Tactical,Violent,Indie,Gore,Singleplayer,Massively Multiplayer,Atmospheric,Difficult,Co-op,Adventure","Action,Indie,Early Access",$28.00,$16.80
Call of Duty®: Modern Warfare® 2,"Very Positive,(14,567),- 89% of the 14,567 user reviews for this game are positive.","Action,FPS,Multiplayer,Shooter,First-Person,Singleplayer,War,Military,Co-op,Online Co-Op,PvP,Masterpiece,Great Soundtrack,Story Rich,Atmospheric,Adventure,Tactical,Strategy,Linear,Moddable",Action,1.020,$906.48
Neverwinter,"Mostly Positive,(24,131),- 77% of the 24,131 user reviews for this game are positive.","Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Action,Fantasy,Open World,Character Customization,Co-op,Dungeons & Dragons,Dragons,PvP,Third Person,Action RPG,PvE,Atmospheric,Hack and Slash,Zombies","Adventure,Free to Play,Massively Multiplayer,RPG",Free to Play,
The Binding of Isaac: Rebirth,"Overwhelmingly Positive,(63,149),- 97% of the 63,149 user reviews for this game are positive.","Rogue-like,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,Remake,2D,Local Co-Op,Gore,Procedural Generation,Atmospheric,Rogue-lite,Action,Horror,Twin Stick Shooter,Co-op",Action,$14.99,$35.97
UNO,"Mixed,(4,174),- 57% of the 4,174 user reviews for this game are positive.","Card Game,Multiplayer,Casual,Board Game,Family Friendly,Funny,Strategy,Co-op,Psychological,Online Co-Op,Singleplayer,Classic,Action,Gore,Team-Based,Survival,Simulation",Casual,UNO,
A Hat in Time - Ultimate Edition,,,"Adventure,Indie",,$39.85
Age of Empires® III: Complete Collection,"Very Positive,(13,207),- 87% of the 13,207 user reviews for this game are positive.","Strategy,RTS,Base Building,Historical,Multiplayer,Resource Management,City Builder,War,Simulation,Real-Time,Singleplayer,Classic,Military,Building,Open World,Action,Co-op,Online Co-Op,Real-Time with Pause,Adventure","Simulation,Strategy",$39.99,$64.75
The Jackbox Party Pack 5,"Mostly Positive,(252),- 78% of the 252 user reviews for this game are positive.","Casual,Local Multiplayer,Comedy,Multiplayer,Funny",Casual,$29.99,$98.75
Knights of Pen and Paper 2,"Very Positive,(956),- 85% of the 956 user reviews for this game are positive.","RPG,Adventure,Pixel Graphics,Strategy,Turn-Based,Indie,Simulation,Singleplayer,Fantasy,Funny,Comedy,Casual,2D","Adventure,Indie,RPG,Simulation,Strategy",$7.99,$25.16
Dishonored: Complete Collection,,,"Action,Adventure",$79.99,$39.99
Dawn of Man,"Mostly Positive,(3,526),- 79% of the 3,526 user reviews for this game are positive.","City Builder,Strategy,Survival,Simulation,Sandbox,Indie,Choices Matter,Economy,Historical,Singleplayer,Casual,Destruction,Open World,Story Rich,Multiplayer,RTS,Political,Rogue-like,Politics,Nudity","Indie,Simulation,Strategy",$24.99,$35.98
Baba Is You,"Overwhelmingly Positive,(1,521),- 97% of the 1,521 user reviews for this game are positive.","Puzzle,Indie,Difficult,Singleplayer,Pixel Graphics,Cute,Sokoban,2D,Programming,Logic,Great Soundtrack,Psychological Horror",Indie,$14.99,
House & Garden Flipper Bundle,,,"Indie,Simulation,Casual",,$31.48
Microsoft Flight Simulator X: Steam Edition,"Mostly Positive,(9,782),- 78% of the 9,782 user reviews for this game are positive.","Flight,Simulation,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Adventure,Atmospheric,First-Person,Action,Difficult,Massively Multiplayer,Co-op,Third Person,Strategy,Local Multiplayer,Military,Sandbox,VR",Simulation,$24.99,$28.48
ASTRONEER,"Very Positive,(30,161),- 84% of the 30,161 user reviews for this game are positive.","Open World,Space,Survival,Multiplayer,Exploration,Sandbox,Base Building,Co-op,Building,Adventure,Crafting,Early Access,Sci-fi,Third Person,Atmospheric,Singleplayer,Colorful,Great Soundtrack,Indie,Voxel","Adventure,Indie",$29.99,$34.61
Hollow Knight,"Overwhelmingly Positive,(37,382),- 95% of the 37,382 user reviews for this game are positive.","Metroidvania,Great Soundtrack,Difficult,Platformer,2D,Atmospheric,Indie,Exploration,Singleplayer,Adventure,Story Rich,Hand-drawn,Dark Fantasy,Action,Multiple Endings,Open World,Cute,Souls-like,Controller,Side Scroller","Action,Adventure,Indie",$14.99,$23.97
Kingdoms and Castles,"Very Positive,(7,419),- 85% of the 7,419 user reviews for this game are positive.","City Builder,Strategy,Medieval,Building,Simulation,Sandbox,Singleplayer,Resource Management,Indie,Base Building,Survival,Management,Casual,Action,RTS,Voxel,Pixel Graphics,Colorful,Great Soundtrack,Economy","Indie,Simulation,Strategy",$9.99,$36.81
